,CN A,CN B,CN C,CN D,CN E,CN F,CN G,CN H,AC 1,AC 2,AC 3,AC 4,AC 5,AC 6,AC 7,AC 8
11:20,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Class Support,Class Support,Class Support,CN Coordination Meeting,Site-office / CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Class Coordinator,
11:25,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Class Support,Class Support,Class Support,CN Coordination Meeting,Site-office / CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Class Coordinator,
11:30,Time-off,Time-off,Class Support,Class Support,Class Support,Time-off,CN Coordination Meeting,CN Coordination Meeting,Time-off,Site-office,Time-off,,,,Class Coordinator / CN Coordination Meeting,CN Coordination Meeting
11:35,Time-off,Time-off,Class Support,Class Support,Class Support,Time-off,CN Coordination Meeting,CN Coordination Meeting,Time-off,Site-office,Time-off,,,,Class Coordinator / CN Coordination Meeting,CN Coordination Meeting
11:40,Time-off,Time-off,Class Support,Class Support,Class Support,Time-off,CN Coordination Meeting,CN Coordination Meeting,Time-off,Site-office,Time-off,,,,Class Coordinator / CN Coordination Meeting,CN Coordination Meeting
11:45,Time-off,Time-off,Class Support,Class Support,Class Support,Time-off,CN Coordination Meeting,CN Coordination Meeting,Time-off,Site-office,Time-off,,,,Class Coordinator / CN Coordination Meeting,CN Coordination Meeting
11:50,Time-off,Time-off,Class Support,Class Support,Class Support,Time-off,CN Coordination Meeting,CN Coordination Meeting,Time-off,Site-office,Time-off,,,,Class Coordinator / CN Coordination Meeting,CN Coordination Meeting
11:55,Time-off,Time-off,Class Support,Class Support,Class Support,Time-off,CN Coordination Meeting,CN Coordination Meeting,Time-off,Site-office,Time-off,,,,Class Coordinator / CN Coordination Meeting,CN Coordination Meeting
12:00,Time-off,Time-off,Class Support,Class Support,Class Support,Time-off,CN Coordination Meeting,CN Coordination Meeting,Time-off,Site-office,Time-off,,,,Class Coordinator / CN Coordination Meeting,CN Coordination Meeting
12:05,Time-off,Time-off,Class Support,Class Support,Class Support,Time-off,CN Coordination Meeting,CN Coordination Meeting,Time-off,Site-office,Time-off,,,,Class Coordinator / CN Coordination Meeting,CN Coordination Meeting
12:10,Time-off,Time-off,Class Support,Class Support,Class Support,Time-off,CN Coordination Meeting,CN Coordination Meeting,Time-off,Site-office,Time-off,,,,Class Coordinator / CN Coordination Meeting,CN Coordination Meeting
12:15,Time-off,Time-off,Class Support,Class Support,Class Support,Time-off,CN Coordination Meeting,CN Coordination Meeting,,Site-office,,Time-off,,Lunch Coordinator,Class Coordinator / CN Coordination Meeting,CN Coordination Meeting
12:20,Time-off,Time-off,Class Support,Class Support,Class Support,Time-off,CN Coordination Meeting,CN Coordination Meeting,,Site-office,,Time-off,,Lunch Coordinator,Class Coordinator / CN Coordination Meeting,CN Coordination Meeting
12:25,Time-off,Time-off,Class Support,Class Support,Class Support,Time-off,CN Coordination Meeting,CN Coordination Meeting,,Site-office,,Time-off,,Lunch Coordinator,Class Coordinator / CN Coordination Meeting,CN Coordination Meeting
12:30,Time-off,,Time-off,,,Lunch Support,,Time-off,Music Program Coordinator,Music Program Coordinator,Music Program Coordinator,Time-off,,Lunch Coordinator,Time-off,Site-office
12:35,Time-off,,Time-off,,,Lunch Support,,Time-off,Music Program Coordinator,Music Program Coordinator,Music Program Coordinator,Time-off,,Lunch Coordinator,Time-off,Site-office
12:40,Time-off,,Time-off,,,Lunch Support,,Time-off,Music Program Coordinator,Music Program Coordinator,Music Program Coordinator,Time-off,,Lunch Coordinator,Time-off,Site-office
